Year,Month,Month Start Date,Community,Total Complaints,Total Number of Callers,data_as_of,data_loaded_at
2022,7,2022/07/01,Montara,774,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,12,2023/12/01,Alameda,70,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2024,2,2024/02/01,Brisbane,79,13,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,4,2020/04/01,Atherton,358,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,4,2020/04/01,Burlingame,17,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2022,8,2022/08/01,Belmont,5,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,11,2023/11/01,Cupertino,426,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,12,2023/12/01,Half Moon,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,10,2019/10/01,Moraga,196,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,10,2019/10/01,Berkeley,1656,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,1,2021/01/01,Watsonville,78,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2020,12,2020/12/01,Moraga,174,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,4,2021/04/01,Castro Valley,7,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,3,2021/03/01,Union City,1,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2019,11,2019/11/01,Saratoga,343,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,6,2021/06/01,Belmont,274,4,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,7,2021/07/01,Felton,182,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
